"2022","city","country","latitude","longitude","fill"
41930,"Madinat Sittah Uktubar","Egypt",29.8167,31.05
41302,"Abu al Matamir","Egypt",30.9102,30.1744
41184,"Naja' Hammadi","Egypt",26.0495,32.2414
40609,"Dayr Mawas","Egypt",27.6415,30.8501
40386,"Ad Dilinjat","Egypt",30.828,30.5355
40010,"Az Zarqa","Egypt",31.2086,31.6353
38213,"As Saff","Egypt",29.5647,31.2811
37953,"`Izbat al Burj","Egypt",31.5084,31.8411
37453,"Al Wasitah","Egypt",29.3378,31.2056
37260,"Sumusta as Sultani","Egypt",28.9167,30.85
36751,"Kawm Hamadah","Egypt",30.7613,30.6997
36633,"Al Bajur","Egypt",30.4305,31.0368
34967,"Kafr Saqr","Egypt",30.7934,31.6257
34796,"Al `Ayyat","Egypt",29.6197,31.2575
34692,"Aja","Egypt",30.9416,31.2904
34638,"Al Ibrahimiyah","Egypt",30.7188,31.563
32944,"Safaga","Egypt",26.7491,33.9389
32000,"Ras Gharib","Egypt",28.3583,33.0783
24653,"Al Qusayr","Egypt",26.1061,34.2772
24271,"Sidi Barani","Egypt",31.6117,25.9254
23842,"Qutur","Egypt",30.9722,30.9561
20000,"Al Bawiti","Egypt",28.3483,28.8694
15000,"El Gouna","Egypt",27.3942,33.6782
14972,"El-Tor","Egypt",28.2417,33.6222
14393,"As Sallum","Egypt",31.5537,25.1579
12000,"Sharm el-Sheikh","Egypt",27.9158,34.3299
10000,"Marsa Alam","Egypt",25.063,34.89
8000,"Dahab","Egypt",28.4821,34.495
7400,"Al `Alamayn","Egypt",30.8301,28.955
7000,"Siwa Oasis","Egypt",29.2032,25.5196
5000,"Qasr al Farafirah","Egypt",27.0568,27.9698
5000,"Nuwaybi`a","Egypt",29.0468,34.6634
5000,"Abu Simbel","Egypt",22.3457,31.6162
4603,"Saint Catherine","Egypt",28.5619,33.9493
4000,"Makadi Bay","Egypt",26.9912,33.8995
3847,"Munshat 'Ali Agha","Egypt",31.1579,30.7018
